Individual,PC,score
973,1,1.19
973,2,-0.05
973,3,-0.74
977,1,0.26
977,2,0.88
977,3,0.27
986,1,-0.27
986,2,0.11
986,3,-0.82
987,1,0.05
987,2,-0.75
987,3,0.15
988,1,-0.82
988,2,-0.27
988,3,-0.11
989,1,0.87
989,2,0.54
989,3,-0.08
990,1,-1.78
990,2,-0.11
990,3,0.19
991,1,-0.74
991,2,0.06
991,3,0.22
993,1,1.54
993,2,-1.17
993,3,0.3
994,1,-0.78
994,2,0.46
994,3,0.16
995,1,0.23
995,2,0.12
995,3,0.24
996,1,-0.47
996,2,-0.95
996,3,0.29
997,1,-0.5
997,2,-0.06
997,3,-0.68
998,1,0.85
998,2,-0.32
998,3,-0.54
999,1,0.08
999,2,-0.41
999,3,-0.13
1001,1,-0.89
1001,2,-0.58
1001,3,-0.76
1002,1,-0.39
1002,2,0.24
1002,3,-0.51
1008,1,0.45
1008,2,0.33
1008,3,0.92
1015,1,-0.72
1015,2,0.52
1015,3,0.3
1016,1,-0.42
1016,2,0.65
1016,3,-0.72
1017,1,-1.24
1017,2,-0.7
1017,3,1.31
1018,1,-0.18
1018,2,-0.05
1018,3,-0.14
1019,1,0.56
1019,2,0.93
1019,3,-0.05
1020,1,0.05
1020,2,0.63
1020,3,-0.08
1021,1,0.42
1021,2,0.12
1021,3,0.08
1025,1,-0.9
1025,2,-0.96
1025,3,-0.34
1026,1,1.04
1026,2,-0.03
1026,3,-0.41
1027,1,-1.01
1027,2,-0.39
1027,3,-0.13
1028,1,-0.1
1028,2,-0.01
1028,3,0.32
1029,1,1.05
1029,2,0.47
1029,3,0.16
1030,1,0.6
1030,2,0.32
1030,3,-0
1031,1,1.27
1031,2,-0.2
1031,3,-0.5
1032,1,-0.64
1032,2,-0.67
1032,3,-0.68
1033,1,-0.53
1033,2,0.18
1033,3,0.8
1034,1,-0.13
1034,2,-1.01
1034,3,-0.25
1035,1,0.59
1035,2,0.11
1035,3,0.39
1039,1,0.22
1039,2,-0.42
1039,3,-0.27
1040,1,0.76
1040,2,-0.42
1040,3,-0.35
1041,1,0.55
1041,2,-0.13
1041,3,-0.14
1042,1,1.27
1042,2,1.74
1042,3,0.47
1043,1,0.4
1043,2,0.96
1043,3,0.19
1044,1,-0.22
1044,2,2.49
1044,3,0.48
1045,1,-0.53
1045,2,3.11
1045,3,0.66
1047,1,0.07
1047,2,0.74
1047,3,-0.29
1048,1,-0.87
1048,2,0.78
1048,3,-0.14
1049,1,-0.08
1049,2,1.51
1049,3,-0.25
1050,1,0.09
1050,2,0.97
1050,3,0.44
1051,1,1.02
1051,2,1.15
1051,3,0.5
1052,1,1.08
1052,2,0.2
1052,3,-0
1053,1,1.21
1053,2,1.11
1053,3,0.47
1054,1,0.13
1054,2,0.64
1054,3,0.9
1055,1,0.55
1055,2,1
1055,3,0.39
1056,1,-0.46
1056,2,-0.19
1056,3,0.04
1059,1,0.15
1059,2,-0.98
1059,3,-0.2
1060,1,-0.52
1060,2,-0.33
1060,3,-0.64
1061,1,-0.9
1061,2,-1.38
1061,3,-0.61
1063,1,0.49
1063,2,0.07
1063,3,-0.83
1064,1,0.26
1064,2,-0.13
1064,3,-0.45
1065,1,1.38
1065,2,0.06
1065,3,-0.69
1068,1,-0.93
1068,2,0.78
1068,3,-0.55
1076,1,0.33
1076,2,-0.27
1076,3,0.45
1077,1,0.15
1077,2,0.2
1077,3,0.1
1086,1,-0.72
1086,2,0.36
1086,3,0.67
1092,1,0.31
1092,2,0.98
1092,3,0.3
1093,1,-0.04
1093,2,-0.39
1093,3,-0.5
1094,1,0.94
1094,2,0.59
1094,3,0.37
1095,1,0.75
1095,2,-0.59
1095,3,0.45
1096,1,0.27
1096,2,0.22
1096,3,-0.07
1097,1,-1.5
1097,2,0.76
1097,3,0.21
1098,1,-0.86
1098,2,2
1098,3,-0.09
1108,1,-1.38
1108,2,0.5
1108,3,0.95
1110,1,-0.68
1110,2,-0.81
1110,3,-0.5
1111,1,-0.39
1111,2,-0.09
1111,3,0.43
1117,1,0.85
1117,2,-0.48
1117,3,0.47
1118,1,0.84
1118,2,1.39
1118,3,-0.24
1120,1,-0.26
1120,2,-0.15
1120,3,0.18
1122,1,-0.15
1122,2,1.9
1122,3,-0.04
1123,1,-0.44
1123,2,0.3
1123,3,-0.45
1124,1,0.88
1124,2,0.16
1124,3,-0.06
1126,1,0.99
1126,2,-0.65
1126,3,-0.12
1128,1,0.75
1128,2,1.19
1128,3,1.09
1129,1,0.55
1129,2,0.26
1129,3,0.43
1130,1,-0.22
1130,2,0.08
1130,3,-0.21
1131,1,-0.86
1131,2,0.83
1131,3,-0.18
1132,1,-0.1
1132,2,-0.1
1132,3,0.1
1137,1,-0.28
1137,2,0.41
1137,3,-0.08
1142,1,-0.92
1142,2,-0.15
1142,3,-0.2
1143,1,-0.53
1143,2,0.77
1143,3,-0.54
1144,1,-0.06
1144,2,-1.02
1144,3,-0.12
1145,1,-0.51
1145,2,-0.45
1145,3,0.68
1146,1,0.26
1146,2,-0.99
1146,3,-0.58
1147,1,0.98
1147,2,-0.38
1147,3,-0.05
1149,1,0.99
1149,2,-0.48
1149,3,-0.31
1154,1,0.62
1154,2,0.38
1154,3,0.52
1155,1,-0.03
1155,2,0.07
1155,3,-0.62
1156,1,-0.61
1156,2,0.73
1156,3,-0.74
1157,1,0.95
1157,2,0.38
1157,3,0.36
1158,1,0.09
1158,2,0.15
1158,3,-0.38
